debate_id,start,end,text,label,gender
1,29,62,السلام عليكم و رحمة الله و بركاته,ETHOS,F
1,64,125,لجنة التحكيم الموقرة الجمهور الكريم فريقي الموالاة و المعارضة,PATHOS,F
1,126,250,أتينا اليوم أنا و فريقي و نحن نوالي قرار المجلس أنه سوف يعطي الأولوية لزيادة معدلات التوظيف على حساب إبطاء التقدم التكنولوجي,POSITION,F
1,252,384,إبطاء التقدم التكنولوجي مثل فرض الضرائب على أنظمة التكنولوجيا و المعلومات أو وضع حد أدنى لعدد الموظفين أو تقييد استخدام تقنيات معينة,GROUND,F
1,386,439,سأبدأ ببعض التعريفات التي نحن سنأخذها في هذه المناظرة,ETHOS,F
1,443,447,أولا,ETHOS,F
1,448,507,عندما نتحدث عن المجلس نحن نتحدث عن الدول المتقدمة تكنولوجيا,QUALIFIER,F
1,508,703,و لماذا نأخذ الدول المتقدمة تكنولوجيا و ليست الدول التي لا يوجد تكنولوجيا بها لأن هؤلاء الدول التي لا توجد تكنولوجيا بها و لا تعتبر متقدمة تكنولوجيا ليست لديها خوف استبدال البشر بالتكنولوجيا أصلا,RATIONAL BACKING,F
1,705,1051,و عندما نتحدث عن أنظمة التكنولوجيا و المعلومات نحن نتحدث عن العديد من التكنولوجيات التي الآن هي تعتبر التكنولوجيات الصاعدة في مجتمعنا ألا و هي مثلا مثل الذكاء الاصطناعي و الذي هو ال artificial intelligence الواقع الافتراضي و المدمج و المحسن augmented virtual and mixed reality  و الblock chain و أنظمة المعلومات و علوم البيانات أو الdata science.,GROUND,F
1,1054,1329,نحن في فريق الموالاة نريد الحفاظ على التقدم المجتمعي المدروس عن طريق إبطاء التقدم التكنولوجي، نحن نريد أن نعطي المجال للمجتمع أن يدرس هذه التكنولوجيا و أن يدرس أثر تلك التكنولوجيا قبل أن نعطيه المجال للتقدم السريع الذي من الممكن أن يدمر المجتمع و يدمر الاقتصاد بسرعته الهائلة,SUPER CLAIM,F
1,1333,1375,سوف أبدأ بالتحدث عن تاريخ الثورات الصناعية,ETHOS,F
1,1377,1740,عندما نتحدث عن الثورات الصناعية فنحن بدأنا في الصناعة اليدوية التي هو كل شيء مصنوع بأيدي البشر و بدون البشر ليس هناك منتج، و بعد ذلك أتت الثورة الصناعية ألا و هي ركزت على الغاء الحركات المتكررة التي من الممكن للآلات أن تعمل بها و تترك هذا الوقت للعمال الذين من الممكن أن يعملوا بأشياء أخرى و من الممكن أن يكون هذا العامل يجب عليه الإشراف على هذه الآلات بشكل مستمر,GROUND,F
1,1742,1882,و هناك أيضا مرحلة أخرى بعد الآلة حيث يقوم الشخص بتركيب هذا المنتج و  وضعه أمام المشتري و بعد ذلك أتت و التي نحن فيها الآن الثورة التكنولوجية,GROUND,F
1,1884,1978,الثورة التكنولوجية التي هي سريعة جدا سريعة بدرجة ليس من الممكن أن يتخيلها الإنسان في وقتنا هذا,PATHOS,F
1,1982,1988,لماذا؟,ETHOS,F
1,1989,2027,لأن أنظمة التكنولوجيا فيها اكتفاء ذاتي,CLAIM,F
1,2029,2238,النظام من الممكن أن تعمله مرة واحدة و تترك الموضوع للآلة حتى تقوم بالتعلم و نأتي بالذكاء الاصطناعي و نأتي بعلوم البيانات و نأتي بهذه الأشياء التي هي من الممكن أن تقوم تلك الأشياء هي بتقدم الأنظمة التي نلعب بها,RATIONAL BACKING,F
1,2239,2634,"لماذا؟
 
لأن هذه هي قوة التكنولوجيا التي نتحدث عنها الآن عندما نتحدث عن الثورة الصناعية و الثورة التكنولوجية و التي هم الذين سوف نركز على الفرق بينهم، في الثورة الصناعية ممكن أن تبدل خمس أشخاص بآلة و تضع هؤلاء الأشخاص بمكان آخر،
 
أما بالثورة التكنولوجية فأنت تقوم بتبديل الف شخص بآلة واحدة و هذه الآلة الواحدة يعني أنت تستطيع أن تتركها هي حتى تنظم نفسها أو ممكن شخص أو شخصين يقومون بالصيانة بها",RATIONAL BACKING,F
1,2638,2828,نحن هنا في فريق الموالاة نحن ليس ضد التقدم نحن مع التقدم التكنولوجي و مع تقدم المجتمع و لهذا نحن نريد إبطاء هذا التقدم حتى نعطي المجتمع فرصة لأن يفهم قوة هذه الآلات و يفهم كيفية التعامل معها,SELF-REPETITION,F
1,2832,3439,"لننظر إلى تجربة قامت بالفعل بهذا التقدم لهذا التقدم التكنولوجي، الدوت كوم بوم أو انفجار فقاعة الدوت كوم في ألفين و ثمانية و لا هي كانت في آخر التسعينات و في أول الألفين في هذه الفقاعة التي أصبحت شيء كل الناس مثلا في وول ستريت و كل أحد يقوم بوضع أموال هائلة في هذه الأنظمة و في هذه المواقع التي كانت هي تعتبر شيئا شيء فظيع بهذا الوقت شيء لم نسمع عنه قبل شيء لم يتوقع أي أحد بأنه من الممكن أن نوصل هذا الشيء قبل آلاف السنين و وصلنا هذا الشيء و عرضنا هذا الشيء و قمنا بوضع الأموال بهذا الشيء و بعد ذلك ما الذي حصل؟
 
انفجرت الفقاعة و تدمر الاقتصاد و ما زلنا نعاني لهذا اليوم من الاقتصاد الذي تدمر فيه ذاك الوقت",EVIDENTIAL BACKING,F
1,3441,3660,عندما نتحدث عن لماذا انفجرت هذه الفقاعة أول شيء الشركات لم تستطيع أن تلبي ما وعدت به لأنها لم تكن هذه التكنولوجيات مدروسة بطريقة صحيحة و لم تستطيع تلك الشركات أن تجد الموظفين الذين يستطيعون أن يضعون هذه الأنظمة و يبنوها,EVIDENTIAL BACKING,F
1,3664,3722,الشيء الآخر أن الأشخاص لا يفهمون هذه المنتجات فلا يشترونها,EVIDENTIAL BACKING,F
